2005	2225	12TH DISTRICT GREENS			
2005	2227	15TH DISTRICT DEMOCRATS			
2005	2228	22ND DISTRICT DEMOCRATS			
2005	2230	7TH DISTRICT REPUBLICANS			
2005	2231	8TH DISTRICT REPUBLICANS			
2003	90820	ABAZIA, DESMOND	L	state:lower	NJ-10
1997	90818	ABRAHAM, JOHN	L	state:lower	NJ-37
2009	3875	ADAMS & ARTER BRACKET			
2009	90822	ADAMS, HARRY	L	state:lower	NJ-7
2009	3876	ADDIEGO & RUDDEN BRACKET			
2011	10778	ADDIEGO RUDDER & DELANY BRACKET			
2007	8988	ADDIEGO, DAWN MARIE	W	state:lower	NJ-8
2003	90504	ADDISON, DONALD	L	state:lower	NJ-15
1997	90173	ADINOLFI, ALFONSO	L	state:lower	NJ-21
2009	132296	ADLER, BARRY	L	state:lower	NJ-19
2007	618	ADLER, JOHN H	W	state:upper	NJ-6
2009	3877	ADOLF BROWN & MATTSON BRACKET			
2009	3977	ADOLF DECRISTOFARO & GREENBERG BRACKET			
2007	3118	ADOLF GURENLIAN & MATTSON BRACKET			
2003	11051	ADOLF, JOSEPH A	L	state:upper	NJ-6
2009	3878	AGOSTINELLI & BOMBACE BRACKET			
2005	90835	AHART, COREY	L	state:lower	NJ-4
2003	90050	AHEARN, MATT	L	state:lower	NJ-38
2011	10779	ALBANO & MILAM BRACKET			
2011	8002	ALBANO, NELSON	W	state:lower	NJ-1
1997	11074	ALBERT, NORMAN	L	state:lower	NJ-22
2003	11074	ALBERT, NORMAN W	L	state:lower	NJ-21
2009	90830	ALGEIER, GARY	W	state:lower	NJ-25
2007	3119	ALLEN GRIFFIN & PROPP BRACKET			
2001	2086	ALLEN, DIANE	W	state:upper	NJ-7
2005	2086	ALLEN, DIANE B		state:upper	NJ-7
2005	2232	ALOIA & SANDOVAL BRACKET			
2005	90833	ALOIA, LOUIS G	L	state:lower	NJ-36
2011	10799	ALONSO & GOLDBERG BRACKET			
1999	90754	ALPER, MIKE	L	state:lower	NJ-16
2003	90826	ALTAMURO, STEPHEN	L	state:lower	NJ-4
1997	90825	ALVAREZ, MICAELA	L	state:lower	NJ-33
2003	90464	AMIN, JASAL	L	state:lower	NJ-18
2007	3120	AMODEO & POLISTINA BRACKET			
2009	8981	AMODEO, JOHN F	W	state:lower	NJ-2
1997	90829	ANDREWS, ROBERT E	L	state:governor	
2011	8992	ANGELINI, MARY PAT	W	state:lower	NJ-11
2007	3121	ARIYAN FLETCHER & MANNA BRACKET			
2007	90823	ARIYAN, JOSEPH	L	state:upper	NJ-39
1999	11267	ARNONE, MICHAEL J	W	state:lower	NJ-12
1997	90814	ARONSON, ERIC S	L	state:lower	NJ-39
2009	90395	ARTER, LEAH J	L	state:lower	NJ-7
